favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
48383,Twitter for iPhone,"Just landed in Louisiana! Vote against John Bel Edwards, he has the worst jobs record in the United States. Louisiana will do much better by electing a REPUBLICAN. See everyone soon! @LAGOP https://t.co/V1rVXEEuso",,False,Fri Oct 11 23:55:42 +0000 2019,12682,1182807013719531522
55171,Twitter for iPhone,"During my visit yesterday to Austin, Texas, for the startup of the new Mac Pro, &amp; the discussion of a new one $billion campus, also in Texas, I asked Tim Cook to see if he could get Apple involved in building 5G in the U.S. They have it all - Money, Technology, Vision &amp; Cook!l",,False,Thu Nov 21 12:31:40 +0000 2019,12925,1197492772850348034
75522,Twitter for iPhone,#DONOTHINGDEMS,,False,Wed Oct 02 14:27:14 +0000 2019,20228,1179402463805345794
72664,Twitter for iPhone,The home of Nancy Pelosi. I can’t believe her voters can be happy with the job she and the Do Nothing Democrats are doing! San Francisco has really gone down hill. So sad! https://t.co/z0Tms6gkDy,,False,Fri Nov 01 00:48:11 +0000 2019,20572,1190067978089439239
56232,Twitter for iPhone,Statement from President Donald J. Trump Regarding Turkey’s Actions in Northeast Syria https://t.co/ZCQC7nzmME,,False,Mon Oct 14 19:55:09 +0000 2019,18961,1183833640507269120
35997,Twitter for iPhone,Congratulations Barbara! https://t.co/0cYrjL1YOj,,False,Mon Oct 21 01:57:10 +0000 2019,8236,1186099074371596288
78097,Twitter for iPhone,"China and the USA are working on selecting a new site for signing of Phase One of Trade Agreement, about 60% of total deal, after APEC in Chile was canceled do to unrelated circumstances. The new location will be announced soon. President Xi and President Trump will do signing!",,False,Thu Oct 31 13:24:32 +0000 2019,18165,1189895935721197570
77733,Twitter for iPhone,"We just WON the big court case on Net Neutrality Rules! A great win for the future and speed of the internet. Will lead to many big things including 5G. Congratulations to the FCC and its Chairman, Ajit Pai!",,False,Mon Oct 07 11:51:43 +0000 2019,18211,1181175266409889793
61980,Twitter for iPhone,.....The Kurds and Turkey have been fighting for many years. Turkey considers the PKK the worst terrorists of all. Others may want to come in and fight for one side or the other. Let them! We are monitoring the situation closely. Endless Wars!,realDonaldTrump,False,Sun Oct 13 13:09:21 +0000 2019,14329,1183369133301391365
99963,Twitter for iPhone,"Badly failing presidential candidate @KamalaHarris will not go to a very wonderful largely African American event today because yesterday I recieved a major award, at the same event, for being able to produce &amp; sign into law major Criminal Justice Reform legislation, which will..",,False,Sat Oct 26 12:18:28 +0000 2019,25432,1188067368620167168
